,caption,commentsCount,dimensionsHeight,dimensionsWidth,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,likesCount,productType,timestamp,type,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,day_of_week,hour_of_day,month_of_year,season,popularity_index
0,"Vintage Wilton: @HansWestermark created this gorgeous wedding cake inspired by the 1986 Wilton Book of Wedding Cakes ‍♀️ Who doesn’t love some overpiping and vintage style?!
 
#WiltonCakes #WeddingCake #VintageCakes #CakeDecorating #LambethCake #WeddingCakeDesign",39,1920,1080,WiltonCakes,WeddingCake,VintageCakes,CakeDecorating,LambethCake,WeddingCakeDesign,880.0,clips,2025-01-09 17:30:00,Video,none,none,none,none,none,Thursday,17,1,Winter,627.7
1,"HAPPY NEW YEAR ♥️♥️♥️
Merci pour cette année 2024, vivement 2025 ✨
#pavlova #meringue #pastry #food #foodlover #dessert #cake #birthdayckae #hapoynewyear #weddingcake #pastrychef #pavlovacake #recette",54,1920,1080,pavlova,meringue,pastry,food,foodlover,dessert,2655.0,clips,2025-01-01 16:13:10,Video,cake,birthdayckae,hapoynewyear,weddingcake,pastrychef,Wednesday,16,1,Winter,1874.6999999999998
2,"Я умею работать в любых условиях)
Самое главное-результат. 
Мы собираем торты и в шикарных ресторанах на оборудованных кухнях и на улице и даже в багажнике автомобиля. Нас не пугает двадцатиградусный холод и тридцатиградусная жара. 

Эта свадьба проходила в самом центре города с шикарным видом , но из-за сложности выноса  собирала прям на месте  выездной церемонии .  В тот день был сумасшедший ветер. Декор улетал с торта и даже стол катился  по подиуму ( если посмотрите фото в конце, там жених придерживает) . Но мы справились. 

Декор @florida_vrn 
Организация  @karuna_event_agency 
@alexandra_karuna 

Наша главная цель -счастливые мололожнны достигнута",20,1920,1080,none,none,none,none,none,none,3.0,clips,2025-01-09 16:24:05,Video,none,none,none,none,none,Thursday,16,1,Winter,8.1
3,"That didn’t go as planned 

@katyaa_golden",49,1920,1080,none,none,none,none,none,none,3.0,clips,2024-12-26 10:07:48,Video,none,none,none,none,none,Thursday,10,12,Winter,16.799999999999997
4,"Dolci momenti che rendono le feste ancora più speciali!  Che la magia della Befana porti gioia, serenità e tanto amore nelle vostre case! 

Buona Epifania a tutti! ✨",19,1920,1080,none,none,none,none,none,none,3.0,clips,2025-01-06 09:03:56,Video,none,none,none,none,none,Monday,9,1,Winter,7.8
5,"با آرزوی خوشبختی برای عروس و داماد عزیزم 
#متی_پز_کیک کد ۱۴۰۹
#کیک_خونگی_سمنان #کیک_سمنان  #کیک_عروسی
 #سمنان #کیک_بله_برون#کیک_عقد #کیک_عروس #کیک_عقد_سمنان 

#semnan_cake
#weddingcake
#semnan",26,612,612,متی_پز_کیک,کیک_خونگی_سمنان,کیک_سمنان,کیک_عروسی,سمنان,کیک_بله_برون,236.0,carousel_container,2025-01-10 16:59:34,Sidecar,کیک_عقد,کیک_عروس,کیک_عقد_سمنان,semnan_cake,weddingcake,Friday,16,1,Winter,173.0
6,"2024: Baked. Decorated. Devoured. 

This year was all about creativity, flavour and unforgettable moments. From wedding tiers to birthday surprises, we’ve transformed flour and frosting into memories!! God has done so much after I took over the business in August 2024!!! Can’t wait to see what 2025 has in store! ✨

#cake #cupcake #yearrecap #2024 #dessert #birthdaycake #weddingcake #cakedesign",1,960,540,cake,cupcake,yearrecap,2024,dessert,birthdaycake,3.0,clips,2025-01-10 23:02:16,Video,weddingcake,cakedesign,none,none,none,Friday,23,1,Winter,2.3999999999999995
7,".
.
.

..

.
#cakecake #domecale #cake #cakedecorating #cakedesign #cakedecorating #cakesofinstagram #cakestagram #nyccake #cakeshop #chocolate #patisserie #design #floral #weddingcake #cakedecoratingvideos #birthdaycake #anthurium #floralarrangement",10,612,612,cakecake,domecale,cake,cakedecorating,cakedesign,cakesofinstagram,3.0,carousel_container,2024-12-19 15:45:53,Sidecar,cakestagram,nyccake,cakeshop,chocolate,patisserie,Thursday,15,12,Fall,5.1
8,"#HappeningNow in #Qatar ✨️ A night straight out of a dream ✨ Think Roman arches, Gucci-inspired prints, bold burgundy florals, and a ceiling that screams majestic vibes  Swipe for all the jaw-dropping details, and catch the magic unfold live on our InstaStory and Snapchat ! 
____________________
▪︎ Wedding planner and designer: @theplannerqatar @rimanplanner
▪︎ Content Creator: @lebaneseweddings
▪︎ Photographer: @theplannerqatar
▪︎ Lighting: @danykhay
▪︎ Entrance coaching and protocol: @bridalbymaisa
▪︎ Makeup artist: @safa_almusallam
▪︎ Dress: @khyeliofficial
▪︎ Shoes: @maisonvalentino
▪︎ Hospitality service: @biyalaqa
▪︎ Dessert: @amanies_cake
▪︎ Catering: @cateringbellaflora
▪︎ Chocolate: @levochocolate @rich.qa
▪︎ Entertainment & Sound System & zaffa: @ajeventsqatar 
▪︎ Floral: @foreverroselondon
____________________
#LebaneseWeddings",87,612,612,HappeningNow,Qatar,LebaneseWeddings,none,none,none,14757.0,carousel_container,2025-01-09 21:37:37,Sidecar,none,none,none,none,none,Thursday,21,1,Winter,10356.0
9,"❄️️

♡

#vintagecake #lambethcake #bespokecake #customcake #birthdaycake #anniversarycake #weddingcake #cake #cakeshop #smallbusiness #dentontx #downtownmckinney #mckinneytx #mckinneytexas",2,612,612,vintagecake,lambethcake,bespokecake,customcake,birthdaycake,anniversarycake,141.0,carousel_container,2025-01-09 22:50:24,Sidecar,weddingcake,cake,cakeshop,smallbusiness,dentontx,Thursday,22,1,Winter,99.29999999999998
10,"Amazing cake ideas  Comment your favorite 

1: @lapateaghiz
2: @cakesbymarian_
3: @bakedbouquet_
4: @delicious_bakez
5: @wildflourcakes_mia
6: @cakesbymarian_
7: @karina_malevich",11,612,612,none,none,none,none,none,none,5005.0,carousel_container,2024-12-19 19:27:10,Sidecar,none,none,none,none,none,Thursday,19,12,Fall,3506.8
11,"Festive brush strokes 
Wishing everyone warmth and joy for the holidays 
.
.
.
.
.
.
.
.
.
#bostonparty #bostoncakes #bostonweddings #bostonevent #instacake #cakedesign #bostoncakedesigner #bostonbrides #bostonbakery  #cakeandice #cake #bostondessert  #newenglandwedding #cakedecorating #bostoncake #cake_trends #weddingdream #paintedcake  #cakesinstyle #bostondessert #bostonengagement #texturedbuttercream #newenglandwedding #bostonkids #birthdaycake  #weddingcake #weddingcakes",30,1920,1080,bostonparty,bostoncakes,bostonweddings,bostonevent,instacake,cakedesign,1499.0,clips,2024-12-24 13:16:51,Video,bostoncakedesigner,bostonbrides,bostonbakery,cakeandice,cake,Tuesday,13,12,Winter,1058.3
12,"Buttercream flower cake class works oil painting style 
油画or蛋糕❓
是油画盘洒落在了裱花蛋糕上
梦幻的蜜桃红把油画风配色表达到极致
课堂设计.奶油霜裱花的色彩感拿捏
#flowercake #cakedesign #buttercream #flower #cake #partycake #birthdaycake #buttercreamflower #baking #weddingcake #beanpaste #design #color #freshcream #cupcakes #freshcreamcake #豆沙裱花 #韩式裱花 #烘焙 #甜品 #裱花#奶油霜裱花 #淡奶油裱花 #裱花蛋糕#鲜奶油裱花 #버터크림플라워케이크 #앙금플라워케이크 #플라워케이크",5,1920,1080,flowercake,cakedesign,buttercream,flower,cake,partycake,575.0,clips,2025-01-08 14:48:26,Video,birthdaycake,buttercreamflower,baking,weddingcake,beanpaste,Wednesday,14,1,Winter,404.0
13,"Wedding cake 4 @carotran  made by @vegemammma  

A giant dome of vanilla & olive oil sponge, lemon curd, strawberries & vanilla bean swiss meringue buttercream.

featured in @vogueaustralia

#cakeart #cakedesign #weddingcake #vogueaustralia #epicdecordk",8,612,612,cakeart,cakedesign,weddingcake,vogueaustralia,epicdecordk,none,2759.0,carousel_container,2025-01-03 00:37:22,Sidecar,none,none,none,none,none,Friday,0,1,Winter,1933.7
14,"・
・
生徒さまへ贈る
#ウエディングケーキ 
・
・
教室に通ってくださっている生徒さまが
ご結婚されることになり
ウエディングケーキをご依頼いただきました✨
・
・
可愛いケーキがご希望で
相談しながらピンクのリボンのデザインに
・
下が4号、上が3号の小ぶりなサイズ。
後ろにも一本上からリボンかけてます。
いちご乗せるスペースがギリギリでした
・
・
プラチョコのリボンは初めて作るので
かなりドキドキでしたが
なんとか上手く組み立てられてホッ。
・
綺麗なお皿に乗せたかったけど
移動が怖すぎて無理だったー
・
無事にお渡しできました。
・
・
一生に一度の記念のケーキをご依頼いただき
ありがとうございました！
作らせていただけて光栄でした✨
・
末永くお幸せに
・
・
・
#ウエディングケーキ #2段ケーキ #リボンケーキ #記念日ケーキ #weddingcake #手作りケーキ #手作りスイーツ #お菓子作り #お菓子教室 #お菓子教室大阪 #instasweets #homemadecake #おうちカフェ #wp_deli_japan #フーディーテーブル #おうちごはんlover #私のおいしい写真 #cotta #コッタ",2,612,612,ウエディングケーキ,2段ケーキ,リボンケーキ,記念日ケーキ,weddingcake,手作りケーキ,3.0,carousel_container,2024-12-23 12:59:15,Sidecar,手作りスイーツ,お菓子作り,お菓子教室,お菓子教室大阪,instasweets,Monday,12,12,Winter,2.6999999999999997
15,"Congratulations to Tracy and Fred, who celebrated their wedding last Saturday!

In keeping with their elegant black-and-white color scheme, we adorned their cake with ribbons of black icing in varying widths. The offset sugar flower topper, inspired by the stunning fresh blooms of @bellefleurny featured an array of all-white roses, calla lilies, ranunculus, anemones, sweet peas, lisianthus, stephanotis, and delicate foliage.

Venue: #UnionClubNY
Mistress of ceremonies: @unikimh 

#cake #weddingcake #blackandwhite #blackandwhitecake #sugarflowers #holidaywedding",23,612,612,UnionClubNY,cake,weddingcake,blackandwhite,blackandwhitecake,sugarflowers,689.0,carousel_container,2024-12-27 13:19:39,Sidecar,holidaywedding,none,none,none,none,Friday,13,12,Winter,489.19999999999993
16,"Peachy Pearadise for the end of 2024  

.
.
.
.
.
.
.
#cake #cakedesign #cakedecorating #cakeart #nyccake #cakedecorator #nyccakeartist #cakesofinstagram #cakecakecake #patisserie #pearcake #cardamomcake #cambro #weddingcake #cakeinspo #weddingcakesideas #weddingcakeideas #birthdaycale #capricorn",10,612,612,cake,cakedesign,cakedecorating,cakeart,nyccake,cakedecorator,3.0,carousel_container,2025-01-01 16:45:00,Sidecar,nyccakeartist,cakesofinstagram,cakecakecake,patisserie,pearcake,Wednesday,16,1,Winter,5.1
17,"Love ❤️ 

@hiba_ziana 
-
-
-
-
-
-
-
-
-
-
-
#love #aşk #bridetobe #engagementring #event #fypシ #indianbride #weddingphotography #weddingcake #flowers #❤️ # # #naturephotography #photographers_of_india #photographylovers #photography",8,612,612,love,aşk,bridetobe,engagementring,event,fypシ,2900.0,carousel_container,2024-12-30 11:51:42,Sidecar,indianbride,weddingphotography,weddingcake,flowers,❤️,Monday,11,12,Winter,2032.3999999999999
