,caption,commentsCount,dimensionsHeight,dimensionsWidth,hashtags/0,hashtags/1,hashtags/2,likesCount,productType,timestamp,type,day_of_week,popularity_index,season,hour_of_day,month_of_year
0,"Vintage Wilton: @HansWestermark created this gorgeous wedding cake inspired by the 1986 Wilton Book of Wedding Cakes ‍♀️ Who doesn’t love some overpiping and vintage style?!
 
#WiltonCakes #WeddingCake #VintageCakes #CakeDecorating #LambethCake #WeddingCakeDesign",39,1920,1080,WiltonCakes,WeddingCake,VintageCakes,880.0,clips,2025-01-09 17:30:00,Video,Thursday,627.7,Winter,17,1
1,"HAPPY NEW YEAR ♥️♥️♥️
Merci pour cette année 2024, vivement 2025 ✨
#pavlova #meringue #pastry #food #foodlover #dessert #cake #birthdayckae #hapoynewyear #weddingcake #pastrychef #pavlovacake #recette",54,1920,1080,pavlova,meringue,pastry,2655.0,clips,2025-01-01 16:13:10,Video,Wednesday,1874.7,Winter,16,1
2,"Я умею работать в любых условиях)
Самое главное-результат. 
Мы собираем торты и в шикарных ресторанах на оборудованных кухнях и на улице и даже в багажнике автомобиля. Нас не пугает двадцатиградусный холод и тридцатиградусная жара. 

Эта свадьба проходила в самом центре города с шикарным видом , но из-за сложности выноса  собирала прям на месте  выездной церемонии .  В тот день был сумасшедший ветер. Декор улетал с торта и даже стол катился  по подиуму ( если посмотрите фото в конце, там жених придерживает) . Но мы справились. 

Декор @florida_vrn 
Организация  @karuna_event_agency 
@alexandra_karuna 

Наша главная цель -счастливые мололожнны достигнута",20,1920,1080,none,none,none,3.0,clips,2025-01-09 16:24:05,Video,Thursday,8.1,Winter,16,1
3,"That didn’t go as planned 

@katyaa_golden",49,1920,1080,none,none,none,3.0,clips,2024-12-26 10:07:48,Video,Thursday,16.799999999999997,Winter,10,12
4,"Dolci momenti che rendono le feste ancora più speciali!  Che la magia della Befana porti gioia, serenità e tanto amore nelle vostre case! 

Buona Epifania a tutti! ✨",19,1920,1080,none,none,none,3.0,clips,2025-01-06 09:03:56,Video,Monday,7.8,Winter,9,1
5,"با آرزوی خوشبختی برای عروس و داماد عزیزم 
#متی_پز_کیک کد ۱۴۰۹
#کیک_خونگی_سمنان #کیک_سمنان  #کیک_عروسی
 #سمنان #کیک_بله_برون#کیک_عقد #کیک_عروس #کیک_عقد_سمنان 

#semnan_cake
#weddingcake
#semnan",26,612,612,متی_پز_کیک,کیک_خونگی_سمنان,کیک_سمنان,236.0,carousel_container,2025-01-10 16:59:34,Sidecar,Friday,173.0,Winter,16,1
6,"2024: Baked. Decorated. Devoured. 

This year was all about creativity, flavour and unforgettable moments. From wedding tiers to birthday surprises, we’ve transformed flour and frosting into memories!! God has done so much after I took over the business in August 2024!!! Can’t wait to see what 2025 has in store! ✨

#cake #cupcake #yearrecap #2024 #dessert #birthdaycake #weddingcake #cakedesign",1,960,540,cake,cupcake,yearrecap,3.0,clips,2025-01-10 23:02:16,Video,Friday,2.3999999999999995,Winter,23,1
7,".
.
.

..

.
#cakecake #domecale #cake #cakedecorating #cakedesign #cakedecorating #cakesofinstagram #cakestagram #nyccake #cakeshop #chocolate #patisserie #design #floral #weddingcake #cakedecoratingvideos #birthdaycake #anthurium #floralarrangement",10,612,612,cakecake,domecale,cake,3.0,carousel_container,2024-12-19 15:45:53,Sidecar,Thursday,5.1,Fall,15,12
8,"#HappeningNow in #Qatar ✨️ A night straight out of a dream ✨ Think Roman arches, Gucci-inspired prints, bold burgundy florals, and a ceiling that screams majestic vibes  Swipe for all the jaw-dropping details, and catch the magic unfold live on our InstaStory and Snapchat ! 
____________________
▪︎ Wedding planner and designer: @theplannerqatar @rimanplanner
▪︎ Content Creator: @lebaneseweddings
▪︎ Photographer: @theplannerqatar
▪︎ Lighting: @danykhay
▪︎ Entrance coaching and protocol: @bridalbymaisa
▪︎ Makeup artist: @safa_almusallam
▪︎ Dress: @khyeliofficial
▪︎ Shoes: @maisonvalentino
▪︎ Hospitality service: @biyalaqa
▪︎ Dessert: @amanies_cake
▪︎ Catering: @cateringbellaflora
▪︎ Chocolate: @levochocolate @rich.qa
▪︎ Entertainment & Sound System & zaffa: @ajeventsqatar 
▪︎ Floral: @foreverroselondon
____________________
#LebaneseWeddings",87,612,612,HappeningNow,Qatar,LebaneseWeddings,14757.0,carousel_container,2025-01-09 21:37:37,Sidecar,Thursday,10356.0,Winter,21,1
9,"❄️️

♡

#vintagecake #lambethcake #bespokecake #customcake #birthdaycake #anniversarycake #weddingcake #cake #cakeshop #smallbusiness #dentontx #downtownmckinney #mckinneytx #mckinneytexas",2,612,612,vintagecake,lambethcake,bespokecake,141.0,carousel_container,2025-01-09 22:50:24,Sidecar,Thursday,99.29999999999998,Winter,22,1
